Date,Open,High,Low,Close,Volume
2013-06-12,12.0,13.0,10.0,10.1,3766500
2013-06-13,10.2,12.5,10.0,11.3,2208500
2013-06-16,12.0,12.7,11.9,12.1,2463500
2013-06-17,12.1,12.3,11.8,12.0,3789000
2013-06-18,12.2,12.6,11.9,12.4,7557000
2013-06-19,12.7,13.2,12.7,12.8,3721500
2013-06-20,13.1,13.2,11.7,11.9,4477500
2013-06-23,12.3,12.3,10.8,10.9,4299500
2013-06-24,11.2,11.9,10.9,11.6,1182500
2013-06-26,12.0,12.2,11.1,11.2,1675000
2013-06-27,11.2,11.4,10.9,11.0,1035000
2013-06-30,11.1,11.1,10.3,10.5,1116000
2013-07-02,10.9,11.5,10.8,11.3,1096000
2013-07-03,11.5,11.6,10.7,10.8,1551500
2013-07-04,11.0,11.2,10.8,10.9,1249000
2013-07-07,11.3,11.6,11.1,11.3,1258000
2013-07-08,11.3,11.4,10.7,10.8,1229000
2013-07-09,11.0,11.0,10.2,10.3,1818000
2013-07-10,10.4,10.9,10.4,10.5,1059500
2013-07-11,10.8,10.9,10.2,10.3,660500
2013-07-14,10.7,10.7,10.2,10.2,766500
2013-07-15,10.5,10.5,10.0,10.0,1053000
2013-07-16,10.4,10.4,9.9,10.0,693500
2013-07-17,10.0,10.0,9.7,9.7,1092500
2013-07-18,9.8,10.0,9.5,9.5,514500
2013-07-21,9.6,9.7,9.2,9.2,1054000
2013-07-22,9.4,9.5,9.0,9.1,461000
2013-07-23,9.4,9.5,8.9,8.9,536500
2013-07-24,8.9,9.7,8.8,9.7,574500
2013-07-25,10.3,10.5,9.5,9.5,698500
2013-07-28,9.3,9.4,9.0,9.1,203500
2013-07-29,9.2,9.2,8.9,8.9,261500
2013-07-30,8.9,9.0,8.1,8.3,718000
2013-07-31,8.2,8.3,7.7,7.7,771000
2013-08-01,7.9,7.9,7.7,7.8,111000
2013-08-04,7.5,7.7,7.5,7.5,305000
2013-08-05,7.6,7.9,7.6,7.7,195000
2013-08-12,7.5,7.6,7.5,7.5,105500
2013-08-13,7.7,7.7,7.4,7.4,389500
2013-08-14,7.4,7.6,7.0,7.1,560000
2013-08-18,7.1,7.2,7.0,7.0,856000
2013-08-19,7.0,7.5,7.0,7.3,260000
2013-08-20,7.2,7.2,7.0,7.1,258000
2013-08-21,7.2,7.2,7.0,7.0,377000
2013-08-22,7.1,7.2,7.0,7.0,342500
2013-08-25,7.2,7.2,7.0,7.0,512000
2013-08-26,7.1,7.1,6.9,6.9,243000
2013-08-27,6.8,7.0,6.5,6.5,608000
2013-08-29,6.4,6.8,6.4,6.5,114000
2013-09-01,6.5,7.0,6.5,6.9,375500
2013-09-02,7.1,7.1,6.8,6.8,312500
2013-09-03,6.8,7.1,6.8,6.8,211000
2013-09-04,6.9,7.0,6.7,6.7,215000
2013-09-05,6.8,6.8,6.5,6.6,248000
2013-09-08,6.5,6.6,6.5,6.5,82000
2013-09-09,6.5,6.6,6.4,6.4,215000
2013-09-10,6.5,6.5,6.3,6.3,290000
2013-09-11,6.4,6.9,6.4,6.6,488000
2013-09-12,6.8,6.9,6.6,6.6,203000
2013-09-15,6.6,6.6,6.4,6.4,225000
2013-09-16,6.5,6.6,6.4,6.4,290500
2013-09-17,6.4,6.5,6.2,6.2,314500
2013-09-18,6.3,6.4,6.1,6.2,366000
2013-09-19,6.2,6.7,6.2,6.3,435000
2013-09-22,6.4,6.5,6.3,6.4,214500
